stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
16,1,Simon,Patrick,"A few days ago, I got together with some friends, and we spent quite a while laughing as we recalled what happened at the last school festival. I was in charge of a booth where we made and sold cotton candy. At first, I remember being flustered because I didn’t know how to operate the cotton candy machine and ended up spilling a lot of sugar. But I quickly got the hang of it as my friends helped me out. In the end, I felt proud when the teacher came by and enjoyed the cotton candy.",Which of the following correctly describes what happened at the speaker's school festival booth?,Not sure,The speaker worked at a ticket booth.,The speaker was initially clumsy with operating the cotton candy machine.,The speaker gave cotton candy as a gift to their friends.,3,The speaker was initially clumsy with operating the cotton candy machine.,0
17,201,Lucille,Carol,"A few days ago, while having dinner with my family, my grandfather shared a story about a flood he experienced when he was young. Back then, there was only one bridge in the village, so everyone evacuated using that bridge. My grandfather lost a watch he had in his pocket at the time, but later, an elder in the village found the watch and returned it to him. My grandfather said he still clearly remembers how grateful he felt in that moment.",What did the speaker's grandfather lose during the flood?,Not sure,Umbrella,Watch,Handkerchief,3,Watch,0
18,401,KilliantheVampire,Claire,"On a holiday afternoon, I was deeply engrossed in reading as usual, but suddenly I couldn't concentrate well, and my head felt heavy. I realized I had been reading for too long, so I lay down on the sofa and closed my eyes for a bit. After taking a short nap, the pouring sunlight felt warm, and  I woke up feeling nice and refreshed. When I opened the book again, I found that I understood the content even better, which was surprising. It was a day that made me truly appreciate how important it is to pause and rest for a while.",How did the speaker take a break while reading?,Not sure,Went for a walk,Took a nap,Listened to music,3,Took a nap,0
19,2,Carlos,Rex,"While on a trip to Spain, I was wandering through an unfamiliar area and got lost. I happened to run into a nice local man whose name was Luis, and he was able to give me directions in English. We ended up having lunch together, and as we awkwardly taught each other our languages and talked, we quickly became friends. That evening, I also got the chance to hang out with more locals at a bar Luis recommended. This brief encounter during my trip is something I’ll remember for a lifetime. ",Why did the speaker first start interacting with Luis?,Not sure,Because they met at the same hotel,Because Luis helped when the speaker was lost.,Because they participated in the same tour,3,Because Luis helped when the speaker was lost.,0
20,202,Sophia,Jenna,"A few days ago, I drew a small notecard myself with colored pencils. I started simply with a flower petal, but as I kept adding more colors, time flew by much faster than usual. As I put the finished notecard into an envelope to send to a friend, I felt an unexpected sense of pride. Drawing helped clear my mind, and choosing the colorful shades also lifted my spirits.",What is the most appropriate description of the speaker's feelings when drawing the notecard?,Not sure,They felt bored.,They were thinking a lot of random thoughts.,They felt really immersed in the experience of picking colors.,4,They felt really immersed in the experience of picking colors.,0
21,402,AnnabelletheGhost,Jimmy,"A few days ago, I took a short trip to Chicago with a high school friend whom I hadn't been able to see for a while due to our busy schedules. While walking down some side streets in Logan Square, we happened to find a small local cafe and went inside. There, we ordered lattes and their signature French toast and had a nice, long conversation for the first time in a while. The rainy view outside the window and the soft lighting created the perfect atmosphere for a deeper talk, and it was so nice to just unwind and relax with a good friend. ",What combination of food and drink did they order at the cafe?,Not sure,Green tea and muffins,Lattes and French toast,Americano and waffle,3,Lattes and French toast,0
22,3,KilliantheVampire,Peter,"I was drinking coffee alone at a small café in Paris when I started up a conversation with a young man named Luis from Brazil who sat next to me. He said he travels around the world taking photos, and we shared stories about our respective trips. We explored a hidden alley market that Luis recommended, and we quickly became friends. We still occasionally keep in touch by emailing each other photos of our travels.",What activity did the young Brazilian man and the speaker do together in Paris?,Not sure,Went sightseeing at the Eiffel Tower.,Explored a hidden alley market.,Visited the museum.,3,Explored a hidden alley market.,0
23,204,Kristen,Annie,"Whenever work gets overwhelming and my mind feels cluttered, I take a walk in a small park near my house. Sitting on a bench in front of the pond, listening to my favorite music, and gazing at the water instantly calms my mind. Especially after it rains, the fresh scent of damp earth and the droplets on the leaves and grass make me feel refreshed and clear-headed. I’m always grateful for these moments because they help me regain my strength.",What did the speaker mention that helps them feel calm in the park?,Not sure,Coffee shop in the park,Pond scenery and music,Exercise equipment,3,Pond scenery and music,0
24,403,Duke,Mia,"I still can't forget the braised cutlassfish I had in Maine when I first traveled there with just my mom in fourth grade. It was a very rainy day, and we were chatting while eating hot corn on the cob and lobster in a small restaurant. Normally, I don't eat much seafood, but that day it tasted exceptionally good, and the restaurant owner gave us homemade blueberry pie as a complimentary treat, which made  the memory even more special.",What special food did the speaker have with their mother during their trip to Maine?,Not sure,Grilled mackerel,Braised cutlassfish,Pork,3,Braised cutlassfish,0
25,4,Tyson,Jimmy,"A few days ago, I suddenly caught a cold and was feeling so weak that I stayed in bed at home. After mom got off work, she quietly made me warm porridge without saying a word. She apologized for not being able to take care of me due to her busy work and gently covered me with my blanket. As I lay there, I realized once again how precious every little act of kindness from my mom was. I also realized that all her words, which I used to think were nagging, were actually from her concerns about my health. That night, I got a little teary-eyed thinking about her kindness.",What is something the mother did not do when the speaker had a cold?,Not sure,She made warm porridge.,She gently tucked the blanket around the speaker.,She brought medicine that's good for colds.,4,She brought medicine that's good for colds.,0
26,205,Zoey,Claire,"A few days ago, I was going through a tough time and felt mentally overwhelmed, but after dinner, I gradually started to feel at ease as I chatted and relaxed with my family in the living room. Drinking the warm tea my mom made, I laughed as my dad and younger siblings each shared something funny that happened during their day. Just having my family by my side was a great comfort, and I felt my heart grow stronger again.",How did the speaker find comfort with their family during a difficult time?,Not sure,Worked out together.,Had a conversation in the living room.,Went out to eat.,3,Had a conversation in the living room.,0
27,404,Harper,Tim,"Last month, when I got lost in a small alley in Paris, an American exchange student I happened to meet ended up helping me out. Despite the fact that they were very busy, they looked at the map with me and personally guided me to my destination, even recommending some great restaurants along the way. Thanks to their kindness, I felt warmth in a foreign city, and later I treated them to tea at a café to express my gratitude. Because of this kindness, the memory of this trip is even more special.",What kind thing did the American exchange student do when the speaker got lost in Paris?,Not sure,They went shopping together.,They guided the narrator to the destination while looking at the map.,They booked a local tour for the narrator.,3,They guided the narrator to the destination while looking at the map.,0
28,5,Walter,Viktor,"Going to a nearby park with my parents and younger sister every weekend is a simple pleasure for our family. Last time, my mom packed homemade pasta salad along with some fruit for lunch, and we all sat on a bench to eat together. I remember my younger sister lost a shoe while playing ball on the grass, and everyone excitedly helped look for it. Because of this little mishap, we all ended the day with more smiles.",What was included in the picnic lunch when the family went to the park?,Not sure,Pasta salad and fruit,Sandwich and juice,Chicken skewers and pita bread,2,Pasta salad and fruit,0
29,206,Lucille,Mia,"During a yoga class, the instructor suggested trying a new pose, but suddenly the friend next to me lost their balance and tumbled sideways. Seeing that, others got startled and bumped into each other, causing a small commotion. In the end, everyone who was trying to be serious burst out laughing, including the instructor, who said we should take a short break and then practice the pose again.",What caused everyone to burst out laughing during the yoga class?,Not sure,The teacher made a joke.,A friend lost their balance and fell over.,The music suddenly stopped.,3,A friend lost their balance and fell over.,0
30,405,Kevin,Samantha,"A few years ago, I vividly remember going on a trip to Florida with my friends. As soon as we arrived, we took photos while listening to the sound of the waves on the beach, and that evening, we chatted and caught up with each other’s news over oven-fired pizza from a local beachside restaurant. The weather was great throughout the trip, and we marveled at the sunset while enjoying drinks on the beach. More than anything, I just felt so happy spending time laughing with friends I rarely get to see because of our busy schedules.",What did the speaker eat with their friends while they were catching up with each other on their trip to Florida?,Not sure,Sushi,Pizza,Barbeque,3,Pizza,0
