main_topic,sub_topic,C,utterance,question,option1,option2,option3,option4,answer,answer_index,length_no_space
가족,아버지와의 뜻 깊은 대화,170,"며칠 전 저녁에 식탁에 앉아 있는데 아버지가 조용히 옆에 오셔서 요즘 고민이 많아 보인다고 하시더라고요. 평소에는 일 이야기만 하셨던 분이었는데, 그날은 제 미래와 꿈에 대해 진지하게 물어봐 주셨어요. 아버지와 함께 어린 시절 등산 가던 추억도 꺼내며, 제가 힘들 때마다 어떻게 이겨냈는지 이야기해주셨죠. 그 순간 마음이 한결 가벼워지고, 아버지와 더 가까워진 기분이 들어 참 특별한 시간이었습니다.",대화 중 아버지가 꺼낸 저의 어린 시절 추억은 무엇이었나요?,잘 모르겠음,해변에서 놀던 기억,등산을 함께 갔던 일,동물원에 갔던 날,등산을 함께 갔던 일,3,169
가족,아버지와의 뜻 깊은 대화,170,며칠 전 저녁 식사 후 거실에 앉아 아버지와 오래간만에 진지한 이야기를 나누었다. 아버지는 젊은 시절 회사에서 겪었던 고민과 그때마다 포기하지 않았던 이유를 들려주셨다. 그 이야기를 듣고 나니 힘든 일이 있을 때마다 쉽게 포기하려 했던 내 모습이 떠올라 조금 부끄러웠다. 아버지는 항상 묵묵히 내 곁에서 조용히 응원해주고 계셨다는 걸 새삼 느꼈다.,화자가 아버지와 대화를 나눈 시점은 언제였나요?,잘 모르겠음,며칠 전 저녁 식사 후,아침 등굣길,주말 오후 공원에서,며칠 전 저녁 식사 후,2,145
가족,어머니의 사랑에 대한 감사의 마음,170,"며칠 전, 평소처럼 집에 들어섰을 때 어머니가 직접 만드신 따뜻한 미역국 냄새가 집안 가득 퍼져 있었습니다. 별다른 날도 아닌데 저를 위해 챙겨주신 정성에 마음이 뭉클했어요. 어머니는 조용히 제 앞에 밥을 내어주셨고, 저도 모르게 그 자리에서 감사하다고 말씀드렸습니다. 어릴 때는 이런 작은 배려가 당연한 줄 알았는데, 나이가 들수록 어머니의 사랑과 관심이 얼마나 소중한지 깨닫게 됩니다.",집에 들어섰을 때 집안에 가득 퍼져 있던 음식의 냄새는 무엇이었나요?,잘 모르겠음,된장찌개,미역국,갈비찜,미역국,3,164
가족,어머니의 사랑에 대한 감사의 마음,170,"지난주 갑자기 몸이 좋지 않아 하루 종일 누워 있었는데, 엄마가 조용히 방에 들어와서 과일을 깎아 주시고 이불도 다시 덮어 주셨어. 아무 말 없이 옆에 잠시 앉아 계시다가 내가 잠드는 걸 보고 나가셨다. 엄마가 평소에는 별말 없이 바쁘게 지내시지만, 이렇게 아플 때마다 살뜰하게 챙겨주시는 걸 느끼면 마음 깊이 감사함이 올라온다. 앞으로는 엄마께 더 자주 고맙다는 말을 전해야겠다고 다짐했다.",화자가 아플 때 어머니가 해주신 행동이 아닌 것은 무엇인가요?,잘 모르겠음,과일을 깎아 주셨다,이불을 다시 덮어 주셨다,따뜻한 죽을 만들어 주셨다,따뜻한 죽을 만들어 주셨다,4,163
가족,어머니의 사랑에 대한 감사의 마음,170,"며칠 전 갑작스럽게 감기에 걸려 몸이 축 처져서 집에 누워 있었는데, 엄마가 퇴근 후 아무 말씀도 없이 따뜻한 죽을 끓여 주셨다. 평소엔 바쁘다며 챙겨주지 못해 미안하다고 하시면서 내 이불까지 정성스럽게 덮어주셨다. 누워 있으면서 엄마의 작은 배려 하나하나가 얼마나 소중한지 새삼 깨달았다. 매번 잔소리처럼 느껴졌던 엄마의 말들도 결국 내 건강을 걱정해서였다는 것을 알게 되었고, 그날 밤은 고마운 마음에 혼자 눈물이 났다.",화자가 감기에 걸렸을 때 어머니가 해주신 행동이 아닌 것은 무엇인가요?,잘 모르겠음,따뜻한 죽을 끓여 주셨다,이불을 정성스럽게 덮어주셨다,감기에 좋은 약을 사오셨다,감기에 좋은 약을 사오셨다,4,178
가족,어머니의 사랑에 대한 감사의 마음,170,"며칠 전 늦은 시간까지 과제 때문에 끙끙거리고 있었는데, 갑자기 엄마가 방에 들어와 조용히 따뜻한 우유 한 잔을 건네주셨어. 별말 없이 등만 토닥여주고 나가셨는데, 그 순간 마음이 참 따뜻해지더라. 어릴 때는 이런 엄마의 관심이 당연하다고 생각했는데, 요즘 들어 바쁘고 힘든 날이 많아지면서 엄마의 작은 배려가 얼마나 소중한지 새삼 느끼고 있어. 앞으로 엄마에게 자주 고맙다고 표현해야겠다고 다짐했다.",발화자가 엄마의 사랑을 느낀 구체적인 상황은 무엇이었나요?,잘 모르겠음,엄마가 아침밥을 차려주신 것,엄마가 늦은 시간에 따뜻한 우유를 건네주신 것,엄마가 직접 과제를 도와주신 것,엄마가 늦은 시간에 따뜻한 우유를 건네주신 것,3,170
가족,외할머니집에서의 어린시절 추억,170,"초등학교 여름방학 때마다 외할머니 댁에 가는 게 가장 큰 즐거움이었다. 외할머니는 아침이면 밭에서 직접 따온 오이와 토마토를 씻어주셨고, 나는 그걸 손으로 들고 베란다에서 먹곤 했다. 오후에는 외할머니가 만들어주신 수박 화채를 식탁 위에 올려두면 사촌들과 둘러앉아 서로 더 큰 수박 조각을 차지하려고 티격태격했던 기억이 난다.",어린 시절 외할머니 댁에서 사촌들과 함께 먹었던 음식은 무엇이었나요?,잘 모르겠음,잡채,수박 화채,떡볶이,수박 화채,3,139
가족,외할머니집에서의 어린시절 추억,170,"매년 여름방학이면 외할머니 댁에 며칠씩 머무르곤 했다. 외할머니께서는 직접 손질한 옥수수를 삶아 간식으로 내어주셨는데, 노란 옥수수를 식탁에 둘러앉아 사촌들과 다정하게 나눠 먹던 기억이 아직도 선명하다. 그때 마루에서 부채질하며 듣던 할머니의 옛이야기도 내겐 소중한 추억으로 남아 있다.",외할머니 댁에서 간식으로 무엇을 먹었던 추억이 언급되었나요?,잘 모르겠음,수박,옥수수,고구마,옥수수,3,125
가족,외할머니집에서의 어린시절 추억,170,"여름방학마다 외할머니 댁에 가면 마당에 핀 봉숭아꽃을 따서 할머니와 손톱에 물을 들이곤 했다. 손가락마다 붉게 물든 걸 자랑하며 동네 친구들과 돌멩이로 공기놀이도 했는데, 땀에 젖은 머리를 할머니가 부채로 식혀주시던 기억이 아직도 선명하다. 해질 무렵 할머니가 손수 만드신 호박전을 먹으며 웃었던 그때가 그립다.",내가 외할머니 집에서 할머니와 함께 했던 활동은 무엇이었나요?,잘 모르겠음,봉숭아꽃으로 손톱에 물들이기,연날리기,고구마 굽기,봉숭아꽃으로 손톱에 물들이기,2,133
가족,외할머니집에서의 어린시절 추억,170,"외할머니 댁에 갔을 때마다 마당 한쪽에 심어진 감나무에서 감을 따던 기억이 선명하다. 감을 직접 따기 힘들면 할머니가 긴 막대기를 건네주셨고, 나는 조심스럽게 감을 톡톡 쳐서 떨어뜨리곤 했다. 떨어진 감을 깨끗이 씻어 식탁에 올려두면 할머니는 꼭 반으로 잘라 나눠주셨다. 감을 먹으며 할머니가 들려주시는 옛날 이야기도 내 마음에 오래 남아 있다.",외할머니 댁 마당에서 감을 따기 위해 화자가 사용한 도구는 무엇이었나요?,잘 모르겠음,긴 막대기,짧은 사다리,바구니,긴 막대기,2,145
20대 청춘의 여행,대학 친구와의 뒤늦은 졸업 여행,170,"며칠 전, 대학 시절 친하게 지냈던 민지와 계획했던 졸업 여행을 드디어 다녀왔다. 서로 취업 준비와 여러 사정으로 미뤄왔던 여행이었기에 오랜만에 마주한 민지와 공항에서부터 설렜다. 바닷가 근처 작은 게스트하우스에서 하룻밤을 보내며 밤새 이야기를 나눴고, 새벽에는 같이 해돋이를 보러 바다로 나갔다. 따뜻한 커피 한 잔을 들고 파도 소리를 들으며 그동안의 힘들었던 일들도 자연스럽게 풀어낼 수 있어서 마음이 편안해졌다.",발화자가 민지와 함께 새벽에 한 일은 무엇인가요?,잘 모르겠음,공원 산책을 했다,해돋이를 보러 바다에 갔다,영화를 감상했다,해돋이를 보러 바다에 갔다,3,178
20대 청춘의 여행,대학 친구와의 뒤늦은 졸업 여행,170,"몇 달 전부터 미뤄왔던 대학 졸업 여행을 드디어 다녀왔다. 직장에 다니기 시작해서 시간 맞추기가 어려웠지만, 서로 연차를 내서 부산으로 향했다. 기차 안에서 쌓인 근황을 나누고, 광안리 해변에서는 사진도 많이 찍었다. 무엇보다 오랜만에 함께 먹은 회와 조개구이가 기억에 남는다. 밤에는 바다 소리를 들으며 산책도 했는데, 그 순간만큼은 다시 대학생 시절로 돌아간 듯했다. 바쁜 일상 속에서 친구와 특별한 추억을 쌓을 수 있어서 정말 행복했다.",화자가 친구와 여행지에서 밤에 했던 활동은 무엇이었나요?,잘 모르겠음,오락실에서 게임하기,바다 소리를 들으며 산책하기,영화관에서 영화 보기,바다 소리를 들으며 산책하기,3,186
20대 청춘의 여행,대학 친구와의 뒤늦은 졸업 여행,170,"졸업 후 각자 취업 준비로 바빠서 한동안 못 만났던 대학 친구와 드디어 시간이 맞아 함께 부산으로 여행을 다녀왔다. 오랜만에 만났지만 서로 어색함 없이 해운대 바닷가를 산책하고, 자갈치 시장에서 싱싱한 회도 먹으며 옛 추억을 나눴다. 특히 밤에는 광안대교가 보이는 카페에서 진솔한 이야기를 나누며 그동안 쌓였던 고민도 서로 털어놓았다. 이번 여행 덕분에 다시 한번 친구의 소중함을 느끼게 되었고, 앞으로는 자주 연락하자고 약속했다.",발화자가 대학 친구와 함께 밤에 방문한 장소는 어디였나요?,잘 모르겠음,해운대 바닷가,자갈치 시장,광안대교가 보이는 카페,광안대교가 보이는 카페,4,182
20대 청춘의 여행,대학 친구와의 뒤늦은 졸업 여행,170,"며칠 전, 대학 때 가장 친하게 지냈던 민지와 오랜만에 연락이 닿아 갑작스레 졸업 여행을 다녀왔다. 졸업 후 각자 취업 준비와 회사 생활에 바빠 미루고만 있었는데, 이번에 용기를 내 시간을 맞췄다. 목적지는 바닷가 근처의 작은 도시였고, 도착하자마자 자전거를 빌려 해안길을 달렸다. 바람에 머리가 흩날리고, 햇살이 따사롭게 비치는 풍경에 서로의 근황을 이야기하며 한참을 웃었다. 저녁엔 오래된 분식집에서 떡볶이를 먹고, 숙소에 돌아와 밤새 옛 추억을 나누며 진심 어린 대화를 나눴다.",발화에서 민지와 함께 처음 했던 활동은 무엇이었나요?,잘 모르겠음,해변에서 수영하기,자전거를 빌려 해안길을 달리기,오래된 분식집에서 떡볶이 먹기,자전거를 빌려 해안길을 달리기,3,204
20대 청춘의 여행,여행에서 얻은 깨달음,170,"며칠 전, 혼자 제주도로 떠났을 때 해질 무렵 바닷가 벤치에 앉아 낯선 사람과 우연히 이야기를 나눴던 기억이 난다. 처음 보는 사람이었지만 서로의 여행 이유와 고민을 털어놓으며 공감대를 쌓을 수 있었다. 그 순간 여행은 풍경이나 맛집만이 아니라, 예상치 못한 만남과 그 속에서 내가 어떤 사람인지 돌아보는 시간이라는 사실을 알게 되었다.",화자는 제주도에서 어떤 상황을 통해 여행의 의미에 대해 깨달았나요?,잘 모르겠음,맛집을 방문하다가,혼자 산책하다가,낯선 사람과 이야기를 나누다가,낯선 사람과 이야기를 나누다가,4,140
20대 청춘의 여행,여행에서 얻은 깨달음,170,"친구들과 제주도로 여행을 갔을 때 갑작스럽게 비가 내렸던 적이 있었다. 원래는 바다에서 놀 계획이었지만, 비를 피하려고 근처 작은 카페에 들어가 따뜻한 차를 마시며 이런저런 이야기를 나누게 되었다. 예상치 못한 상황 덕분에 오히려 친구들과 더 깊은 대화를 나눌 수 있었고, 계획대로만 흘러가는 여행보다 즉흥적으로 변하는 순간들이 더 오래 기억에 남는다는 것을 느꼈다. 이런 경험을 통해 나는 여행에서 가장 중요한 것은 함께하는 사람들과 그 순간을 즐기는 마음가짐이라는 점을 깨달았다.",화자가 비가 내릴 때 친구들과 함께 무엇을 하며 시간을 보냈나요?,잘 모르겠음,바다에서 놀았다,카페에서 차를 마시며 대화를 나눴다,박물관을 구경했다,카페에서 차를 마시며 대화를 나눴다,3,204
20대 청춘의 여행,여행에서 얻은 깨달음,170,"혼자 처음으로 떠났던 부산 여행에서 길을 잃은 적이 있다. 낯선 골목에서 두려움이 밀려왔지만, 우연히 마주친 동네 아주머니가 따뜻하게 길을 안내해주셨다. 그 순간 도움을 청하는 용기도 중요하다는 걸 알게 됐다. 스스로 모든 걸 해결하려 애쓰기보단, 때로는 주변 사람들의 손길을 받아들이는 것도 용기임을 이번 여행을 통해 배웠다.",부산 여행 중에 내가 어떤 상황에서 깨달음을 얻었는가?,잘 모르겠음,맛집을 찾아다닐 때,숙소에서 쉬고 있을 때,길을 잃고 도움을 받았을 때,길을 잃고 도움을 받았을 때,4,139
20대 청춘의 여행,여행에서 얻은 깨달음,170,"며칠 전 친구들과 제주도에 갔을 때, 해가 질 무렵 조용한 해변에 혼자 앉아 파도 소리를 들으며 여러 생각에 잠겼던 순간이 떠오른다. 처음에는 여행지에서 유명한 맛집을 찾아다니고 사진을 남기는 데에만 신경 썼는데, 오히려 아무 목적 없이 시간을 보내는 게 내 마음을 더 편안하게 해준다는 걸 알게 됐다. 앞으로는 여행을 계획할 때 꼭 뭔가를 해야 한다는 부담을 내려놓고, 즉흥적으로 느긋한 시간을 보내는 것도 소중하다는 걸 깨달았다.",제주도 여행 중 발화자가 마음이 편안해졌던 이유는 무엇이었나요?,잘 모르겠음,친구들과 사진을 많이 찍어서,계획대로 모든 일정을 소화해서,목적 없이 시간을 보내며 느긋하게 있었기 때문에,목적 없이 시간을 보내며 느긋하게 있었기 때문에,4,179
20대 청춘의 여행,야간버스 여행으로 본 도시의 야경,170,"창밖으로 스쳐 지나가는 불빛들을 바라보며 버스에 앉아 있던 시간이 아직도 선명하다. 친구들과 달리 혼자 떠난 여행이었는데, 낯선 도시의 야경은 생각보다 포근하게 느껴졌다. 고요한 차 안, 창문에 비친 내 모습과 함께 반짝이는 도로의 가로등, 멀리 펼쳐진 다리 위의 자동차 불빛들이 어우러져 혼자라는 외로움 대신 설렘을 안겨주었다. 잠시 졸았다가 깨어보니 창밖 풍경이 완전히 달라져 있었고, 도시의 또 다른 얼굴을 만나는 기분에 괜히 마음이 들떴다.",버스 안에서 느낀 감정과 상황을 바르게 설명한 것은 무엇인가요?,잘 모르겠음,혼자 여행하며 외로움을 크게 느꼈다.,야경을 보며 친구들과 떠든 기억이 난다.,"낯선 도시의 야경이 포근하게 느껴졌고, 혼자지만 설렘을 느꼈다.","낯선 도시의 야경이 포근하게 느껴졌고, 혼자지만 설렘을 느꼈다.",4,189
20대 청춘의 여행,야간버스 여행으로 본 도시의 야경,170,"창밖으로 스쳐 지나가는 불빛들이 마치 별들처럼 반짝이는 것을 보고 있으면 시간 가는 줄도 모르겠다. 어두운 도로를 달리는 야간버스 안에서 이어폰을 끼고 내가 좋아하는 노래를 들으니, 복잡한 생각들이 잠시 잊히는 것 같았다. 창문에 비친 내 얼굴과 바깥 풍경이 겹쳐 보일 때마다 잠깐씩 내가 어디쯤 왔는지 가늠해보기도 했다. 옆자리 친구가 졸린 눈을 비비며 간식을 건네줘서 소리 죽여 웃었던 순간이 유난히 선명하게 남았다.",발화자가 야간버스에서 무엇을 하며 복잡한 생각을 잊었다고 했나요?,잘 모르겠음,창밖 풍경을 그리며 시간을 보냈다,좋아하는 노래를 들으며 창밖 불빛을 봤다,친구와 대화를 하며 책을 읽었다,좋아하는 노래를 들으며 창밖 불빛을 봤다,3,176
20대 청춘의 여행,야간버스 여행으로 본 도시의 야경,170,"친구와 함께 늦은 밤 서울발 부산행 야간버스를 탔다. 창밖으로 도로를 따라 늘어진 불빛들이 점점이 이어져 마치 별이 내려앉은 것 같았다. 모두가 잠든 시간에 조용히 이어폰을 끼고 음악을 들으면서, 밝게 빛나는 고층 건물들과 멀리 흐릿한 교각의 불빛을 바라보는 게 낯설고 설레었다. 다음엔 꼭 창가 자리를 고집해야겠다고 다짐했다.",발화 속 화자는 야간버스에서 무엇을 하며 야경을 감상했나요?,잘 모르겠음,책을 읽으며,이어폰을 끼고 음악을 들으며,운전석 옆에서 기사와 대화하며,이어폰을 끼고 음악을 들으며,3,138
20대 청춘의 여행,야간버스 여행으로 본 도시의 야경,170,"밤이 깊어갈 무렵, 친구와 함께 고속버스를 타고 서울에서 부산으로 이동했다. 창밖으로 펼쳐진 도심의 불빛들이 마치 별처럼 반짝여서 졸음이 쏟아지다가도 시선을 뗄 수 없었다. 특히 대구를 지날 때 멀리 보이는 타워와 대로변의 네온사인이 인상적이었는데, 그 풍경을 사진으로 남기려다 버스 흔들림에 실패했다. 다음엔 삼각대를 챙겨봐야겠다는 생각도 잠시, 고요한 버스 안에서 이어폰을 끼고 조용히 노래를 들으며 도시의 야경을 감상한 그 시간이 오래 기억에 남을 것 같다.",발화자가 야간버스 여행 중 도심 야경을 기록하려다 실패한 이유는 무엇인가요?,잘 모르겠음,창문이 깨끗하지 않아서,버스 흔들림 때문에,카메라 배터리가 없어서,버스 흔들림 때문에,3,197
20대 청춘의 여행,여행 중 만난 이국의 사람들과의 인연,170,"낯선 골목을 걷다가 길을 헤매고 있을 때, 스페인에서 온 루이스와 우연히 마주쳤다. 그는 나에게 영어로 길을 안내해주었고, 우리는 자연스럽게 함께 점심을 먹게 되었다. 서로의 언어를 가르쳐주며 어설프게 대화하다 보니 어느새 친구가 되어 있었다. 그날 저녁, 루이스가 추천해준 현지 바에서 현지인들과 어울릴 기회도 얻었다. 여행에서의 이 짧은 만남이 오래도록 기억에 남을 것 같다.",발화 속에서 내가 루이스와 처음 함께 하게 된 계기는 무엇이었나요?,잘 모르겠음,같은 숙소에서 만났기 때문,길을 헤매고 있을 때 도움을 받았기 때문,같은 투어에 참여했기 때문,길을 헤매고 있을 때 도움을 받았기 때문,3,161
20대 청춘의 여행,여행 중 만난 이국의 사람들과의 인연,170,"베네치아의 좁은 골목을 걷다 우연히 길을 잃었을 때, 현지에서 유학 중이던 브라질인 루카스를 만났다. 그는 나에게 현지 식당을 소개해줬고, 함께 해산물 리조또를 먹으며 각자의 여행 이야기를 나눴다. 식사 후에는 루카스가 숨겨진 골목길을 안내해줘서, 관광객이 거의 없는 조용한 운하 풍경도 볼 수 있었다. 마지막에는 서로의 인스타그램을 교환하며, 다음 여행지에서 다시 만나자고 약속했다.",발화에서 화자가 루카스와 함께 했던 일로 알맞은 것은 무엇인가요?,잘 모르겠음,루카스와 함께 박물관을 방문했다.,루카스가 해산물 리조또를 소개해줬다.,루카스와 오페라 공연을 관람했다.,루카스가 해산물 리조또를 소개해줬다.,3,165
20대 청춘의 여행,여행 중 만난 이국의 사람들과의 인연,170,"이탈리아 피렌체의 작은 카페에서 우연히 자리를 함께하게 된 스페인 친구 루이스와의 대화가 아직도 기억에 남는다. 서로의 여행 계획과 좋아하는 음식에 대해 이야기하다가, 루이스가 추천한 현지 파스타를 같이 먹으러 갔다. 언어는 서툴렀지만 웃음과 손짓으로 소통했고, 서로의 SNS를 교환하며 다음 여행에서 다시 만나자는 약속까지 하게 됐다. 이런 우연한 인연이 여행의 또 다른 즐거움임을 새삼 느꼈다.",발화 속 화자는 여행 중 어떤 음식을 루이스와 함께 먹으러 갔나요?,잘 모르겠음,피자,파스타,리조또,파스타,3,170
20대 청춘의 여행,여행 중 만난 이국의 사람들과의 인연,170,"파리의 작은 카페에서 혼자 커피를 마시고 있었는데, 옆자리에 앉은 브라질 출신의 루이스라는 청년과 자연스럽게 대화를 나누게 되었다. 그는 세계 각지를 여행하며 사진을 찍는다고 했고, 우리는 각자의 여행 이야기를 공유했다. 루이스가 추천해준 숨겨진 골목 시장을 함께 둘러보며 뜻밖의 우정을 쌓았다. 그날 찍은 사진을 이메일로 주고받으며 지금도 가끔 연락을 주고받는다.",파리에서 만난 브라질 출신의 청년과 화자가 함께 한 활동은 무엇이었나요?,잘 모르겠음,에펠탑을 구경했다,숨겨진 골목 시장을 둘러보았다,박물관을 관람했다,숨겨진 골목 시장을 둘러보았다,3,157
